post_id,user_id,post_text,hashtags,post_time,post_type,follower_count,likes,comments,shares,engagement_score,is_trending,day_of_week
post_32,user_743,Difficult official her or across past rule soldier site hard visit join federal go.,#name,2025-04-15 09:45:59,video,57926,2480,469,324,1661.1,1,Tuesday
post_33,user_1519,Cell half expert bank affect stand color word central he imagine new those explain book simply father include size.,"#must,#again,#effect,#oil,#million",2025-04-08 01:04:39,text,443806,2867,885,997,2085.4,1,Tuesday
post_34,user_362,Force candidate kind for.,"#enough,#chair,#wind,#brother,#window",2025-04-08 10:52:53,image,746825,608,900,790,713.8,0,Tuesday
post_35,user_1991,Politics rock world thing theory impact laugh bad those wish big gas military thousand together condition agreement.,"#artist,#up,#guess,#safe,#conference",2025-04-18 22:06:15,text,342833,2443,150,978,1608.6,1,Friday
post_36,user_1162,Cell generation dark evening will kind air exist national action pass simply including.,"#hotel,#her",2025-04-27 02:06:08,image,459127,3860,379,15,2431.2,1,Sunday
post_37,user_1826,Image now coach voice area lay own vote both deal either minute outside might economic purpose become trouble term culture night dark decision home outside station.,"#west,#house,#former,#go",2025-04-19 02:26:08,image,566875,1488,894,475,1208.5,1,Saturday
post_38,user_162,Order mother mind southern.,"#bank,#career,#carry,#prove,#question",2025-04-29 22:12:35,image,499131,1613,303,901,1148.8,1,Tuesday
post_39,user_255,Federal cover tend hotel baby sport strategy.,"#whether,#happen,#company,#energy",2025-04-07 13:57:56,video,733481,4216,172,685,2649.7,1,Monday
post_40,user_1339,Price strong baby else.,"#both,#rule,#school",2025-04-19 01:19:05,text,740036,2833,844,554,2008.4,1,Saturday
post_41,user_311,Executive appear picture land new be someone administration else according we result some.,"#let,#hotel,#unit,#entire,#yard",2025-04-01 12:23:54,image,566613,3254,282,202,2057.2,1,Tuesday
post_42,user_320,Control station building what each American still way tax too.,"#one,#article",2025-04-03 03:14:38,text,112696,1222,227,363,837.6,0,Thursday
post_43,user_685,Structure particular employee relate nothing per hot leader sit.,#important,2025-04-12 16:33:15,video,285942,547,487,649,539.2,0,Saturday
post_44,user_110,That arm score thought partner appear season land.,"#lose,#expert,#I,#also",2025-04-19 10:48:10,text,711235,3514,527,424,2308.9,1,Saturday
post_45,user_1353,Season card shake black on focus wear improve know reason if shake religious film.,"#feeling,#experience,#whom",2025-04-29 17:33:04,image,900772,2885,709,317,1975.4,1,Tuesday
post_46,user_1110,Manager yard meet guess what leave character myself blue year moment experience seat whom else own.,#level,2025-04-21 19:52:16,video,701670,4863,103,265,2975.2,1,Monday
post_47,user_1083,Well street catch become painting none whatever a leader without general.,"#per,#particularly,#product,#international,#move",2025-04-14 07:57:26,text,725754,1721,275,219,1137.0,1,Monday
post_48,user_1149,End card this black second institution cover book book tell factor part seek well stuff.,"#white,#price,#rather",2025-04-03 14:04:29,image,773646,1806,948,294,1397.4,1,Thursday
post_49,user_836,Nice leg choice long including couple ground anyone another particularly let.,"#break,#friend,#instead",2025-04-14 07:21:11,text,433012,2705,279,145,1721.2,1,Monday
post_50,user_1123,Same rule tax affect music chance attorney hotel in consumer above.,#look,2025-04-06 00:38:47,text,61887,4421,292,518,2792.0,1,Sunday
post_51,user_1283,Sport free minute when travel final find along own concern or laugh on cup base food just party character.,"#writer,#tell",2025-04-08 02:25:50,text,254145,1581,485,475,1141.6,1,Tuesday
post_52,user_965,Tax according old wish mind thing.,#agree,2025-04-22 18:12:47,image,539754,1960,748,123,1412.7,1,Tuesday
post_53,user_1269,Tonight subject various office new property.,"#network,#mean",2025-04-15 18:02:32,image,223120,4982,968,991,3378.7,1,Tuesday
post_54,user_736,Explain what camera goal already one offer successful full author laugh market blood start.,"#knowledge,#quickly,#raise,#I",2025-04-06 12:59:00,text,729501,4077,300,374,2573.6,1,Sunday
post_55,user_1141,Tough beyond knowledge huge instead resource east production agreement.,"#theory,#theory,#possible,#imagine,#animal",2025-04-20 07:19:29,text,438239,4342,32,260,2640.8,1,Sunday
post_56,user_744,His tree back free mention throw should political until fish.,"#phone,#behind,#key,#we,#space",2025-04-24 07:23:00,image,444884,4892,998,146,3249.2,1,Thursday
post_57,user_383,Heart boy crime speak character station collection cover ground nothing far.,"#day,#together",2025-04-20 03:42:53,video,820202,4719,906,242,3127.4,1,Sunday
post_58,user_1653,Marriage exist onto term smile type down read force water big.,"#simply,#sure",2025-04-04 20:57:41,text,940747,3247,455,395,2124.2,1,Friday
post_59,user_1435,Us attention follow such check air house hotel call apply sea indeed agree admit fire politics back each key them evidence question receive year family yes.,#message,2025-04-14 20:52:17,text,996823,955,106,901,694.9,0,Monday
post_60,user_1922,Say there age body candidate rise concern wide piece true small movie buy.,"#or,#medical",2025-04-24 11:42:32,image,801906,4036,182,975,2573.7,1,Thursday
post_61,user_421,Can night language whom its society try collection its yet big bank rather positive throw cup drop soldier parent goal.,"#read,#last,#good,#wind,#science",2025-04-30 12:58:37,link,393337,2112,205,90,1337.7,1,Wednesday
post_62,user_322,Kid make move result people only should hour piece idea letter agency avoid stop job health itself if commercial guy full he suffer before first.,"#able,#choose,#effect,#return",2025-04-19 14:10:58,link,176354,823,684,407,739.7,0,Saturday
post_63,user_1375,Subject economy nearly country people bank nor organization evidence song make dog participant direction message brother bag leave door production for hit its nearly.,#resource,2025-04-30 17:31:52,link,992259,4349,408,614,2793.2,1,Wednesday
post_64,user_1993,Every third author without especially final upon indicate risk if society.,"#state,#up,#seven,#image",2025-04-11 23:27:31,link,28662,877,821,929,865.4,0,Friday
post_65,user_571,Fill share top heavy tend final tend.,"#imagine,#letter,#learn",2025-04-19 04:15:04,link,327106,4482,645,940,2976.7,1,Saturday
post_66,user_482,Affect before compare after.,"#computer,#card",2025-04-01 20:19:19,text,391126,884,466,503,720.5,0,Tuesday
post_67,user_1744,Organization her take present seven side detail police drop these every teach more future Mr interest.,"#clearly,#unit",2025-04-28 22:14:29,text,722367,121,358,728,252.8,0,Monday
post_68,user_1533,Long best debate group improve message other boy those religious shoulder catch future final manage.,"#night,#spring,#yet,#true",2025-04-07 11:54:13,image,8762,4024,851,544,2724.1,1,Monday
post_69,user_928,At benefit single through minute power until today.,"#idea,#decade,#director",2025-04-05 13:28:05,link,589365,508,187,622,423.1,0,Saturday
post_70,user_357,Game may nation cup money administration.,"#voice,#institution,#prove",2025-04-30 15:50:28,text,666851,2366,518,768,1651.8,1,Wednesday
post_71,user_1543,Police TV able thousand guy spend least.,"#program,#glass,#middle,#talk,#read",2025-04-04 07:19:39,video,898780,1292,683,609,1041.0,1,Friday
post_72,user_795,Enjoy area rather always theory mother agency build again parent worry rise chair throw professor seem international cultural doctor.,#turn,2025-04-28 03:25:36,image,282315,1924,752,489,1428.9,1,Monday
post_73,user_364,Would chair ask able sea close hear west.,"#work,#ball,#blood,#between",2025-04-21 20:58:09,image,648357,2166,974,573,1649.1,1,Monday
post_74,user_1678,End show executive pressure occur election cost.,"#trip,#military,#quickly,#among",2025-04-29 06:56:05,text,179924,2112,824,458,1560.2,1,Tuesday
post_75,user_1940,Use side program off.,#brother,2025-04-06 07:24:09,image,862879,1919,157,819,1280.4,1,Sunday
post_76,user_693,Not visit like specific try yet explain sit.,"#three,#animal",2025-04-09 14:10:32,image,614819,4648,355,162,2911.5,1,Wednesday
post_77,user_1649,Where network behavior push.,"#create,#college,#act",2025-04-23 06:11:19,link,566788,4425,817,123,2912.4,1,Wednesday
post_78,user_695,Charge ten area edge idea kid much analysis marriage time western line last subject science large spend project trade.,"#easy,#public,#religious,#ok,#choose",2025-04-13 04:18:58,link,368883,1141,520,35,844.1,0,Sunday
post_79,user_308,About claim grow course speech form send part manage maintain live finally leave million bit western cultural already who of term especially.,"#explain,#maintain",2025-04-03 00:39:14,link,197134,460,795,503,564.8,0,Thursday
post_80,user_13,Experience form true read production pattern.,#sense,2025-04-25 21:38:28,text,309003,2107,293,970,1449.1,1,Friday
post_81,user_1930,Easy decide heart story exactly college impact until rise miss.,"#property,#quickly,#per,#heart",2025-04-25 11:57:32,text,791171,2595,156,787,1682.5,1,Friday
post_82,user_839,Child rise sell likely simple record walk wide sense world.,"#give,#mission,#letter,#opportunity,#to",2025-04-28 15:30:23,link,748620,3013,31,743,1891.4,1,Monday
post_83,user_1926,Left game eight experience conference a article same your matter feeling name life.,"#care,#yard,#American,#night",2025-04-02 00:39:48,video,57380,2361,208,644,1543.4,1,Wednesday
post_84,user_1947,Once land perhaps.,"#success,#player,#table",2025-04-22 02:33:25,link,325785,167,751,89,334.4,0,Tuesday
post_85,user_1105,Money compare only line little.,"#police,#paper,#sit,#care,#fact",2025-04-25 18:29:41,video,2839,1642,199,168,1061.7,0,Friday
post_86,user_1737,Sing consumer light ball perhaps news window.,"#walk,#close",2025-04-03 18:04:34,link,18111,3442,106,269,2123.9,1,Thursday
post_87,user_754,Just best sure season party pay someone whatever join develop themselves up girl degree best great pattern feeling buy simply development.,"#agent,#student,#cut",2025-04-23 06:04:34,image,954438,4865,870,349,3214.9,1,Wednesday
post_88,user_826,Tough show sing around expect customer friend summer.,"#medical,#series,#choose,#strategy,#accept",2025-04-02 14:39:25,text,286830,2564,676,219,1763.1,1,Wednesday
post_89,user_264,Consider these shoulder employee investment word tell research employee few today effect exist other.,#mission,2025-04-10 11:36:27,link,111273,3215,87,81,1963.2,1,Thursday
post_90,user_1627,Present again environmental government line officer apply treatment detail environment three matter vote money role.,#issue,2025-04-29 05:29:19,video,166309,2122,708,691,1554.7,1,Tuesday
post_91,user_1730,Important quite mouth significant.,#special,2025-04-05 07:01:07,text,985009,2129,208,100,1349.8,1,Saturday
post_92,user_1705,Like clear kid positive name and challenge student figure box outside move.,"#stay,#drug,#often",2025-04-03 00:07:36,link,557962,3129,592,810,2136.0,1,Thursday
post_93,user_39,Put floor later a best hard baby from really whose detail service for wait artist short former book including nothing blood quality major single toward accept.,#front,2025-04-13 07:00:36,text,240251,2494,807,217,1760.2,1,Sunday
post_94,user_1529,Above science leader sea kind good really back drop bad relate itself class consider skin indicate.,"#baby,#worry",2025-04-22 12:30:25,image,408871,882,172,369,617.7,0,Tuesday
post_95,user_684,Easy here list language thank election.,"#animal,#direction,#watch,#by,#act",2025-04-09 17:49:08,video,310182,1114,571,975,937.2,0,Wednesday
post_96,user_39,Throw not research never while budget believe issue somebody.,"#style,#attorney,#create,#such,#gas",2025-04-23 10:17:45,link,276654,4733,513,37,2997.4,1,Wednesday
post_97,user_289,Century sound style tonight president realize conference.,"#challenge,#kid,#question",2025-04-29 15:27:00,image,119552,3583,707,517,2413.6,1,Tuesday
post_98,user_291,Yes action Mr born product Mrs boy moment.,"#actually,#every",2025-04-23 09:05:34,image,772132,1785,625,940,1352.5,1,Wednesday
post_99,user_755,College mean produce piece involve star move music note try human wonder respond reality so order yeah democratic financial exist exist represent president.,#significant,2025-04-12 18:17:42,image,923587,4454,232,721,2814.1,1,Saturday
post_100,user_286,Stage sort doctor deep clear where single capital blood stop his market move once character season involve exactly collection fight.,"#rise,#body,#describe,#partner,#various",2025-04-16 01:42:59,text,824105,1342,826,12,1054.2,1,Wednesday
post_101,user_1773,And time win research listen through key paper purpose economy notice.,"#knowledge,#which,#school",2025-04-24 16:29:50,link,590485,1203,205,68,790.1,0,Thursday
post_102,user_292,Town order politics consider cultural quite other institution accept once discussion sing kitchen thus last husband.,"#company,#next",2025-04-21 03:51:35,link,479603,3537,181,714,2247.9,1,Monday
post_103,user_502,Office put student design report actually create tough court.,#establish,2025-04-14 00:09:01,link,216115,3354,860,960,2366.4,1,Monday
post_104,user_1476,Candidate better free yourself.,"#pay,#common,#continue,#allow,#bank",2025-04-05 07:42:08,video,46068,2053,744,901,1545.1,1,Saturday
post_105,user_1499,Last help system machine soon season such defense.,"#hotel,#call,#final,#when",2025-04-03 12:21:49,link,765627,2245,159,129,1407.6,1,Thursday
post_106,user_81,Community black really certain drug bill without rise grow building trip method.,"#debate,#growth",2025-04-09 21:57:45,image,731837,3715,408,724,2423.8,1,Wednesday
post_107,user_462,Where social safe high name resource official when old to entire food let.,"#yet,#choose",2025-04-29 10:30:55,link,132580,1851,940,218,1414.4,1,Tuesday
post_108,user_1562,Conference rather reveal sometimes tonight oil attack them book wonder dinner however my painting hot safe role also successful four grow.,"#laugh,#benefit,#forward",2025-04-07 22:58:49,link,307937,799,433,348,644.1,0,Monday
post_109,user_873,Who whom exist throughout black which of.,"#again,#run,#game",2025-05-01 06:29:42,link,766632,4139,568,501,2703.9,1,Thursday
post_110,user_588,See picture wide tough represent this suffer enter threat as professor specific.,#Mr,2025-04-14 15:11:56,video,113713,477,806,365,564.5,0,Monday
post_111,user_692,Yeah recognize think program figure hear also leave author score.,"#practice,#attention,#upon,#assume",2025-04-27 03:44:23,text,837327,3997,969,320,2720.9,1,Sunday
post_112,user_531,Finally onto receive tax magazine market nature operation.,"#open,#American,#scene,#especially,#help",2025-04-05 04:57:30,link,67420,3472,969,795,2453.4,1,Saturday
post_113,user_1279,Successful story mouth us she write.,#raise,2025-04-14 08:17:41,image,96180,852,312,820,686.8,0,Monday
post_114,user_187,Less machine international clearly rather management boy left throughout step question camera throughout after best answer.,"#middle,#next",2025-04-07 19:29:14,text,811794,2234,969,312,1662.3,1,Monday
post_115,user_158,Someone yourself page head condition future decide maintain hear read small ball arrive wall my.,"#possible,#particularly",2025-04-08 02:27:49,video,907349,1008,220,978,768.6,0,Tuesday
post_116,user_1287,Half while bank others write new simple would thousand market well church build tell staff wear several stock phone can.,"#nature,#it",2025-04-11 06:12:41,link,656414,2878,850,299,2011.7,1,Friday
post_117,user_1449,Tell behind that civil true class Democrat generation address serious green fact effect full southern people.,#size,2025-04-25 15:03:44,image,242261,2884,530,119,1901.3,1,Friday
post_118,user_1729,Station budget history picture collection set act of agree child room return group.,"#difficult,#fast,#suddenly",2025-04-21 17:30:50,text,315612,4190,504,595,2724.7,1,Monday
post_119,user_202,Himself security price evening knowledge.,"#save,#security,#especially,#pretty,#mind",2025-04-24 04:02:20,text,402610,2966,2,438,1824.0,1,Thursday
post_120,user_261,Minute whose name author report chair performance first sure fish task usually.,"#top,#book,#today,#woman,#her",2025-04-29 17:42:49,link,582964,1614,821,721,1286.8,1,Tuesday
post_121,user_1389,Recognize through always kind bit join local discuss remain type listen wear serious feeling environment risk.,"#personal,#record,#prepare,#and",2025-04-18 21:50:57,video,641439,2340,641,811,1677.4,1,Friday
post_122,user_107,At be loss boy dream now cost interesting player consider billion building both western perform week day because job national.,"#where,#address,#practice",2025-04-10 22:22:51,text,513751,1225,804,561,1032.3,1,Thursday
post_123,user_290,Scientist moment big answer level cultural image suddenly letter fast memory.,"#receive,#point,#north,#hot,#kid",2025-04-07 16:46:54,video,928892,2728,793,214,1896.1,1,Monday
post_124,user_1986,Might keep story usually black.,"#bad,#drop",2025-04-23 06:08:14,image,121385,4144,237,218,2579.3,1,Wednesday
post_125,user_222,Firm less will indeed year agency fish wall create conference civil most cup animal money price feel Congress.,"#mention,#education,#sometimes,#yourself,#south",2025-04-27 09:26:46,text,258108,854,992,758,885.8,0,Sunday
post_126,user_1622,Blue most camera material campaign treatment why ball rest case big interview look else.,"#early,#training,#smile",2025-04-28 04:38:04,video,869974,1664,357,769,1182.4,1,Monday
post_127,user_1722,Step we operation concern TV too defense mother student poor big create.,"#under,#dinner,#similar,#page",2025-04-06 09:37:14,text,424064,767,454,736,670.0,0,Sunday
post_128,user_109,Anyone however east between.,"#break,#door",2025-04-18 07:51:59,link,13634,908,832,809,875.3,0,Friday
post_129,user_835,Letter house he term yet wonder scene suddenly defense exactly stock source behavior claim single.,"#those,#now",2025-04-08 09:41:06,image,397309,3410,627,997,2333.8,1,Tuesday
post_130,user_822,Rate evidence season.,"#them,#interview,#east",2025-04-07 05:17:31,image,193265,4374,8,797,2706.5,1,Monday
post_131,user_422,Stay budget threat something heavy activity sure yard cup yet price window.,#author,2025-04-27 04:39:09,text,686166,652,102,824,504.2,0,Sunday
post_132,user_825,Bill family position step change rest goal program professional story help beyond bag compare laugh hot TV career approach reduce conference field.,"#check,#collection,#official",2025-04-25 06:01:05,video,768896,4796,528,182,3054.2,1,Friday
post_133,user_1621,Month game money model baby expert hospital himself though still fire hard.,"#organization,#what,#trouble",2025-04-29 18:57:19,text,988272,1347,354,864,1000.8,1,Tuesday
post_134,user_1813,Eight scientist what suddenly Mrs out make determine bed term reflect base until first Republican trouble first myself song.,#bed,2025-04-18 22:08:00,text,975957,4479,439,277,2846.8,1,Friday
post_135,user_1608,Her seven fire national instead attorney six program thing traditional shake protect successful somebody election just.,"#father,#recent,#set",2025-04-07 23:48:17,image,179153,344,762,629,497.9,0,Monday
post_136,user_1039,Seem college family seem speech operation strategy guess experience order.,"#whether,#action",2025-04-03 13:45:48,image,782597,4379,901,346,2932.3,1,Thursday
post_137,user_839,Still including note hotel blue continue movie arrive.,"#into,#degree,#compare,#school",2025-04-08 17:14:02,video,229804,205,442,150,270.6,0,Tuesday
post_138,user_759,Much green rate interesting majority level want voice special huge early son attention role executive see travel.,"#really,#always,#between,#chair",2025-04-26 05:12:17,image,300408,50,744,793,332.5,0,Saturday
post_139,user_46,Ok challenge might reality model believe happy fast smile model within try them not but east.,#street,2025-04-11 01:47:15,link,338680,604,613,258,572.1,0,Friday
post_140,user_145,Behavior dream part former better young I indeed establish choose society board how.,"#college,#dream,#strong,#anything",2025-04-16 10:42:49,video,57064,3299,420,953,2200.7,1,Wednesday
post_141,user_517,Treat woman relate style foreign animal certain surface remain its imagine prevent suggest when pressure several wife community arrive soldier affect.,"#brother,#inside,#admit",2025-04-03 23:51:57,image,587810,2773,160,346,1746.4,1,Thursday
post_142,user_141,Themselves of their probably middle energy gun gas meet cost pass reality also now there cost.,"#three,#knowledge,#out",2025-04-27 19:48:52,video,525387,4733,832,988,3188.2,1,Sunday
post_143,user_298,Name notice more around he.,#represent,2025-04-21 07:37:54,video,688973,816,885,927,847.8,0,Monday
post_144,user_532,Admit field cut organization black television physical soldier much author build evening trial stage live turn for provide like population into beat.,"#image,#task,#push",2025-04-06 03:33:08,video,237886,1714,383,232,1166.5,1,Sunday
post_145,user_163,Head less project similar himself.,"#meeting,#message,#ground",2025-04-16 18:26:01,text,732111,4022,630,152,2617.4,1,Wednesday
post_146,user_1163,Chair six watch student on become score apply appear race who begin heart.,#former,2025-04-11 23:46:19,image,230627,3817,715,107,2515.4,1,Friday
post_147,user_1246,Involve learn they television still teach model.,"#each,#smile,#manager,#cold,#each",2025-04-07 11:57:12,text,544170,71,984,712,409.0,0,Monday
post_148,user_712,Heart security art study half threat machine.,"#race,#become,#mouth,#race,#key",2025-04-04 14:34:10,text,985540,2356,803,99,1664.4,1,Friday
post_149,user_422,As week level former time week beyond add recently in sell outside take cut.,"#save,#skin,#establish,#know",2025-04-27 10:26:10,video,447226,2397,107,999,1570.2,1,Sunday
post_150,user_1471,His old job article recently couple billion exist let who phone because simply record material after day start big.,"#case,#share,#bar",2025-04-13 16:20:45,text,690315,858,881,692,848.3,0,Sunday
post_151,user_303,Letter audience interest eye long lawyer generation break little ten whether some.,"#indeed,#visit,#middle,#she,#themselves",2025-04-04 08:31:31,image,500322,4330,33,247,2632.6,1,Friday
post_152,user_404,Feel reach possible bill piece recently similar service wind us at kitchen others media against many space.,#key,2025-04-03 09:36:42,link,644896,3128,833,257,2152.4,1,Thursday
post_153,user_1999,Anyone catch important police able certain kid usually garden southern pressure sing.,#conference,2025-04-17 12:29:01,video,523233,588,531,193,531.4,0,Thursday
post_154,user_1399,Even catch ahead service remain mouth toward check sort commercial serious he value tonight deal everything fine wife give course.,#art,2025-04-22 13:34:23,link,961779,261,616,333,374.7,0,Tuesday
post_155,user_770,Skin our garden likely training now over four training state area system service field month.,"#simply,#room,#as,#success",2025-05-01 07:29:12,video,319291,647,368,102,508.8,0,Thursday
post_156,user_1880,Less perhaps company now card tough establish despite pick.,"#morning,#ask",2025-04-23 02:37:05,text,512904,2666,871,609,1921.8,1,Wednesday
post_157,user_96,Economy single also somebody success seven according during seven agree huge always talk free some gas risk despite popular weight table different lot finally study.,"#far,#majority,#seat,#move",2025-04-04 14:51:15,video,421094,1481,902,656,1224.8,1,Friday
post_158,user_1417,Seat sell center including investment responsibility blue generation.,"#phone,#decade",2025-04-16 11:30:52,text,478606,2726,253,255,1737.0,1,Wednesday
post_159,user_1426,Task evening area store statement certainly help sign decide same.,"#opportunity,#cultural,#top,#language,#sea",2025-04-23 00:22:36,image,538969,2555,182,657,1653.3,1,Wednesday
post_160,user_130,International ability benefit or man mission language arm.,#present,2025-04-13 04:25:41,text,444600,1477,86,104,922.4,0,Sunday
post_161,user_1886,Think structure board always miss magazine population clear respond growth no skill share finally always several middle such push.,"#nice,#surface,#foot,#surface",2025-04-21 08:15:54,link,747072,1207,488,603,930.9,0,Monday
post_162,user_1672,Sell artist by indicate doctor its administration so reflect land.,"#west,#evidence,#represent,#product",2025-04-18 13:45:42,video,540357,2325,184,761,1526.3,1,Friday
post_163,user_1202,Away mother back certainly cut admit tell today cover seven particular others ball travel future wind require.,#serve,2025-04-13 06:15:05,video,86374,3909,304,857,2522.3,1,Sunday
post_164,user_882,Thousand life piece other ready marriage history send.,"#bill,#story,#bill,#race",2025-04-16 07:04:04,text,433757,4021,88,927,2531.7,1,Wednesday
post_165,user_782,Speech score the team subject think understand total exist financial spend.,"#within,#apply,#account",2025-04-02 10:33:37,text,76917,3152,49,572,1963.1,1,Wednesday
post_166,user_1328,Point two until as south discover other him air.,"#assume,#easy,#score",2025-04-13 08:24:41,link,267687,4138,399,859,2688.4,1,Sunday
post_167,user_1876,Receive better mouth deal half democratic agree role mother worry seem million onto can sometimes.,"#technology,#wish,#continue,#east,#stop",2025-04-05 00:10:43,text,72228,3888,316,814,2509.0,1,Saturday
post_168,user_723,Fill generation board myself white seem none benefit up food hard fact.,#production,2025-04-22 17:47:23,text,656329,1684,788,201,1266.9,1,Tuesday
post_169,user_32,Listen any art energy notice painting next best cause administration decide not Republican.,#possible,2025-04-16 10:10:58,link,258995,4017,676,692,2682.2,1,Wednesday
post_170,user_891,Matter particular might treatment work wish determine four simply television hundred article ok.,"#PM,#authority,#while",2025-04-22 10:20:19,text,957656,4396,127,33,2679.0,1,Tuesday
post_171,user_740,Arrive war candidate she expert some politics.,"#care,#must,#he",2025-05-01 10:49:40,image,991811,165,524,983,354.5,0,Thursday
post_172,user_1618,Late until Democrat clearly sell majority unit she decide term everything health try.,"#hear,#need,#accept,#above",2025-04-14 00:53:18,text,468655,1763,161,121,1118.2,1,Monday
post_173,user_1794,Kind country white only lot play key official buy economic beat happen see.,"#however,#thank,#would,#deep,#either",2025-04-26 20:16:11,text,634346,1575,831,176,1211.9,1,Saturday
